-45.636,-25.363,-40.636,-20.363,687.4915047907197,S,37.85697617238358
-45.636,-25.363,-40.636,-20.363,688.1956742761472,E,37.95454603379568
45.636,25.363,40.636,20.363,687.4915047907197,S,217.85697617238355
45.636,25.363,40.636,20.363,688.1956742761472,E,217.95454603379568
-45.636,25.363,-40.636,20.363,687.4915047907197,S,322.14302382761644
-45.636,25.363,-40.636,20.363,688.1956742761472,E,322.0454539662043
-12.865,63.21,-40.636,20.363,5175.3275061971935,S,225.28091718774263
-12.865,63.21,-40.636,20.363,5178.5372693206522,E,225.41855931360635
-12.865,63.21,40.636,-20.363,10397.010675577383,S,310.92605899535033
-12.865,63.21,40.636,-20.363,10399.367305445906,E,310.79339197003304
70.254,120.658,60.87774,152.5485,1764.9425442778472,S,110.03885130656877
70.254,120.658,60.87774,152.5485,1772.296465986769,E,110.00887996285364
